Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100069,POTS004S 5EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 390kW 4S 79kWh 5Dr Auto,2022,5,Electric,Estate,4,Auto,2,530,1,0,0,70691.67,70691.67,0,84885,0,84830,24,10000,1142.24,0,1142.25,114.22,1256.47,12.6,36,15000,935.74,0,935.75,93.57,1029.32,7.55,222,79.2, 
100070,POTS004S55EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 390kW 4S 79kWh 5Dr Auto [5 Seat],2022,5,Electric,Estate,5,Auto,2,530,1,0,0,70971.67,70971.67,0,85221,0,85166,24,10000,1143.05,0,1143.05,114.31,1257.36,12.6,36,15000,936.93,0,936.94,93.69,1030.63,7.55,222,79.2, 
100075,JERE15S  5HPTA  1,Jeep,Renegade,Jeep Renegade Hatchback 1.5 T4 E-torque Hybrid S 5Dr DCT,2022,5,Petrol,Hatchback,5,Auto,7,130,1469,139,49.5,25962.5,25962.5,0,32156,0,31855,24,10000,702.99,0,702.99,70.3,773.29,7.55,36,15000,546.26,0,546.26,54.63,600.89,7.55,0,0, 
100092,PS2 009PP5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM Pilot/plus 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,231,1,0,0,39208.33,39208.33,0,48050,0,47995,24,10000,705.2,0,705.2,70.52,775.72,7.55,36,15000,568.46,0,568.47,56.85,625.32,7.55,273,69, 
100093,POTS0039 5EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 350kW 93kWh 5Dr RWD Auto,2022,5,Electric,Estate,4,Auto,2,476,1,0,0,64749.17,64749.17,0,77754,0,77699,24,10000,1003.67,0,1003.68,100.37,1104.05,11.9,36,15000,830.71,0,830.72,83.07,913.79,7.55,259,93.4, 
100094,POTS003955EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 350kW 93kWh 5Dr RWD Auto [5 Seat],2022,5,Electric,Estate,5,Auto,2,476,1,0,0,65029.17,65029.17,0,78090,0,78035,24,10000,1004.48,0,1004.48,100.45,1104.93,11.9,36,15000,832.18,0,832.18,83.22,915.4,7.55,259,93.4, 
100095,POTS004S95EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 420kW 4S 93kWh 5Dr Auto,2022,5,Electric,Estate,4,Auto,2,571,1,0,0,73946.67,73946.67,0,88791,0,88736,24,10000,1087.77,0,1087.77,108.78,1196.55,13.65,36,15000,911.7,0,911.7,91.17,1002.87,7.55,259,93.4, 
100096,POTS004955EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 420kW 4S 93kWh 5Dr Auto [5 Seat],2022,5,Electric,Estate,5,Auto,2,571,1,0,0,74226.67,74226.67,0,89127,0,89072,24,10000,1088.56,0,1088.56,108.86,1197.42,14,36,15000,913.13,0,913.14,91.31,1004.45,7.55,259,93.4, 
100100,POMA20T  5EPTA4 2,Porsche,Macan,Porsche Macan Estate T 5Dr PDK,2022,5,Petrol,Estate,5,Semi-auto,7,265,1984,242,28,44975,44975,0,55920,0,53970,24,10000,837.85,0,837.84,83.79,921.63,7.55,36,15000,660.89,0,660.9,66.09,726.99,7.55,0,0, 
100103,NILE00ACE5HE A  2,Nissan,Leaf,Nissan Leaf Electric Hatchback 110kW Acenta 39kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,23700,23700,2133,24229,1422,28440,24,10000,308.84,0,308.84,30.88,339.72,7.55,36,15000,270.54,0,270.54,27.05,297.59,7.55,168,39, 
