capcode,IDS ID,make,model,deriv,P11D,Rentals in P11D,  
MECA2025M5EPTA  2,ME026663,Mercedes,CLA-CLASS Shooting Brake,CLA 250 2.0 224hp AMG Line Premium Auto 22A,37685,61,
MECA13P2E4SXTA  2,ME026642,Mercedes,CLA-CLASS Coupe,CLA 250e 1.3 218hp AMG Line Premium Auto 22A,40060,58,
MECA13P2P4SXTA  2,ME026643,Mercedes,CLA-CLASS Coupe,CLA 250e 1.3 218hp AMG Line Premium Plus Auto 22A,41560,57,
MECA13P2E5EXTA  2,ME026660,Mercedes,CLA-CLASS Shooting Brake,CLA 250e 1.3 218hp AMG Line Premium Auto 22A,41060,58,
MECA13P2P5EXTA  2,ME026661,Mercedes,CLA-CLASS Shooting Brake,CLA 250e 1.3 218hp AMG Line Premium Plus Auto 22A,42560,57,
MECA20A354SPTA4 2,ME026635,Mercedes,CLA-CLASS Coupe,CLA 35 2.0 306 AMG Auto 4MATIC 22A,41215,69,
MECA20P354SPTA4 2,ME026636,Mercedes,CLA-CLASS Coupe,CLA 35 2.0 306 AMG Premium Auto 4MATIC 22A,43715,65,
MECA20L354SPTA4 2,ME026637,Mercedes,CLA-CLASS Coupe,CLA 35 2.0 306 AMG Premium Plus Auto 4MATIC 22A,47215,60,
MECA20P355EPTA4 2,ME026654,Mercedes,CLA-CLASS Shooting Brake,CLA 35 2.0 306 AMG Premium Auto 4MATIC 22A,44715,65,
MECA20A355EPTA4 2,ME026653,Mercedes,CLA-CLASS Shooting Brake,CLA 35 2.0 306hp AMG Auto 4MATIC 22A,42215,68,
MECA20L355EPTA4 2,ME026655,Mercedes,CLA-CLASS Shooting Brake,CLA 35 2.0 AMG Premium Plus Auto 4MATIC 22A,48215,60,
MECS294NL4SDTA4 4,ME026958,Mercedes,CLS-Class Coupe,CLS400d 2.9 AMG Line Ned Premium Plus 4MATIC 22A,70345,48,
MEEC20LAM5EPTA  8,ME027033,Mercedes,E-Class Estate,E200 2.0 Mhev AMG Line Auto 22A,46049.99,58,
MEEC20PSO5EPTA  8,ME027032,Mercedes,E-Class Estate,E200 2.0 Mhev Sport Auto 22A,43049.99,57,
MEEC20LAM4SPTA  8,ME026996,Mercedes,E-Class Saloon,E200 2.0 Mhev AMG Line Auto 22A,44050,57,
MEEC20PSO4SPTA  8,ME026997,Mercedes,E-Class Saloon,E200 2.0 Mhev Sport Auto 22A,41050,57,
MEEC202NL2BDTA  3,ME026441,Mercedes,E-Class Cabriolet,E220d 2.0 194 AMG Line Ned Premium Plus Auto 22A,54360,56,
