capcode,IDS ID,make,model,deriv,P11D,Rentals in P11D,  
FITA20L24TVDTA2    L,FI008379,Fiat,Talento,Van LWB L2H1 12 2.0 EJ 145 Tcn Auto 20,36648,42,
FITA20L24TVDTM2    L,FI008416,Fiat,Talento,Van LWB L2H1 12 2.0 EJ 145 Tecnico 20,34248,43,
FITA20L27SVDTM2    L,FI008420,Fiat,Talento,Van LWB L2H1 12 2.0 EJ 170 Sportivo 20,36408,44,
FITA20L27XVDTM2    L,FI008418,Fiat,Talento,Van LWB L2H1 12 2.0 EJ 170 SX 20,34488,43,
FITA20L27TVDTA2    L,FI008381,Fiat,Talento,Van LWB L2H1 12 2.0 EJ 170 Tcn Auto 20,37368,43,
FITA20L27TVDTM2    L,FI008419,Fiat,Talento,Van LWB L2H1 12 2.0 EJ 170 Tecnico 20,34968,43,
FITA20L27SVDTA2    L,FI008382,Fiat,Talento,Van LWB L2H1 12 20 EJ 170 Spo Auto 20,38808,43,
FITA20L24 HDTM2    L,FI008421,Fiat,Talento,Van LWB L2H2 12 2.0 Ecojet 145 20,33768,43,
FITA20S12 VDTM2    L,FI008402,Fiat,Talento,Van SWB L1H1 10 2.0 Ecojet 120 20,29988,41,
FITA201S2XVDTM2    L,FI008403,Fiat,Talento,Van SWB L1H1 10 2.0 EJ 120 SX 20,31188,41,
FITA201S2TVDTM2    L,FI008404,Fiat,Talento,Van SWB L1H1 10 2.0 EJ 120 Tecnico 20,31668,41,
FITA20S20 VDTM2    L,FI008405,Fiat,Talento,Van SWB L1H1 12 2.0 Ecojet 120 20,30588,41,
FITA20S24 VDTM2    L,FI008408,Fiat,Talento,Van SWB L1H1 12 2.0 Ecojet 145 20,31848,41,
FITA20S20XVDTM2    L,FI008406,Fiat,Talento,Van SWB L1H1 12 2.0 EJ 120 SX 20,31788,41,
FITA20S20TVDTM2    L,FI008407,Fiat,Talento,Van SWB L1H1 12 2.0 EJ 120 Tecnico 20,32268,42,
FITA20S24XVDTM2    L,FI008409,Fiat,Talento,Van SWB L1H1 12 2.0 EJ 145 SX 20,33048,41,
FITA20S24TVDTA2    L,FI008376,Fiat,Talento,Van SWB L1H1 12 2.0 EJ 145 Tcn Auto 20,35928,41,
FITA20S24TVDTM2    L,FI008410,Fiat,Talento,Van SWB L1H1 12 2.0 EJ 145 Tecnico 20,33528,42,
FITA202S7TVDTA2    L,FI008378,Fiat,Talento,Van SWB L1H1 12 2.0 EJ 170 Tcn Auto 20,36648,42,
FITA202S7TVDTM2    L,FI008377,Fiat,Talento,Van SWB L1H1 12 2.0 EJ 170 Tecnico 20,34248,42,
FOTR003L236E A2 5  L,FO037137,Ford,E-Transit Van,350 L2H2 68kWh 184ps Leader 22A,54595,57,
FOTR003T236E A2 5  L,FO037141,Ford,E-Transit Van,350 L2H2 68kWh 184ps Trend 22A,58423,55,
FOTR003L286E A2 5  L,FO037139,Ford,E-Transit Van,350 L2H2 68kWh 269ps Leader 22A,55975,60,
FOTR003T286E A2 5  L,FO037143,Ford,E-Transit Van,350 L2H2 68kWh 269ps Trend 22A,59803,57,
FOTR003L23HE A2 5  L,FO037138,Ford,E-Transit Van,350 L2H3 68kWh 184ps Leader 22A,55795,57,
FOTR003T23HE A2 5  L,FO037142,Ford,E-Transit Van,350 L2H3 68kWh 184ps Trend 22A,59623,55,
FOTR003L28HE A2 5  L,FO037140,Ford,E-Transit Van,350 L2H3 68kWh 269ps Leader 22A,57175,59,
FOTR003T28HE A2 5  L,FO037144,Ford,E-Transit Van,350 L2H3 68kWh 269ps Trend 22A,61003,57,
FOTR00333KBE A2 5  L,FO038404,Ford,E-Transit Chassis Cab,350 L3H1 68kWh 184ps Leader 22A,53137,56,
FOTR003T33BE A2 5  L,FO038408,Ford,E-Transit Chassis Cab,350 L3H1 68kWh 184ps Trend 22A,56965,54,
FOTR00339KBE A2 5  L,FO038406,Ford,E-Transit Chassis Cab,350 L3H1 68kWh 269ps Leader 22A,54517,59,
FOTR003T38BE A2 5  L,FO038410,Ford,E-Transit Chassis Cab,350 L3H1 68kWh 269ps Trend 22A,58345,56,
FOTR00333KDE A2 5  L,FO038420,Ford,E-Transit Chassis Cab,350 L3H1 Ch/P/Dp 68kWh 184 Leader 22A,57937,56,
FOTR003T33DE A2 5  L,FO038422,Ford,E-Transit Chassis Cab,350 L3H1 Ch/P/Dp 68kWh 184 Trend 22A,61765,54,
FOTR00339KDE A2 5  L,FO038421,Ford,E-Transit Chassis Cab,350 L3H1 Ch/P/Dp 68kWh 269 Leader 22A,59317,58,
FOTR003T38DE A2 5  L,FO038423,Ford,E-Transit Chassis Cab,350 L3H1 Ch/P/Dp 68kWh 269 Trend 22A,63145,56,
FOTR003L336E A2 5  L,FO037205,Ford,E-Transit Van,350 L3H2 68kWh 184ps Leader 22A,55555,57,
FOTR003T336E A2 5  L,FO037209,Ford,E-Transit Van,350 L3H2 68kWh 184ps Trend 22A,59383,55,
FOTR003L386E A2 5  L,FO037207,Ford,E-Transit Van,350 L3H2 68kWh 269ps Leader 22A,56935,59,
FOTR003T386E A2 5  L,FO037211,Ford,E-Transit Van,350 L3H2 68kWh 269ps Trend 22A,60763,57,
FOTR003L33HE A2 5  L,FO037206,Ford,E-Transit Van,350 L3H3 68kWh 184ps Leader 22A,56755,57,
FOTR003T33HE A2 5  L,FO037210,Ford,E-Transit Van,350 L3H3 68kWh 184ps Trend 22A,60583,55,
FOTR003L38HE A2 5  L,FO037208,Ford,E-Transit Van,350 L3H3 68kWh 269ps Leader 22A,58135,59,
FOTR003T38HE A2 5  L,FO037212,Ford,E-Transit Van,350 L3H3 68kWh 269ps Trend 22A,61963,57,
FOTR00343KBE A2 5  L,FO038405,Ford,E-Transit Chassis Cab,350 L4H1 68kWh 184ps Leader 22A,54337,55,
FOTR003T43BE A2 5  L,FO038409,Ford,E-Transit Chassis Cab,350 L4H1 68kWh 184ps Trend 22A,58165,54,
FOTR00349KBE A2 5  L,FO038407,Ford,E-Transit Chassis Cab,350 L4H1 68kWh 269ps Leader 22A,55717,58,
FOTR003T48BE A2 5  L,FO038411,Ford,E-Transit Chassis Cab,350 L4H1 68kWh 269ps Trend 22A,59545,56,
FOTR00343KDE A2 5  L,FO038424,Ford,E-Transit Chassis Cab,350 L4H1 Ch/P/Dp 68kWh 184 Leader 22A,59137,55,
FOTR003T43DE A2 5  L,FO038426,Ford,E-Transit Chassis Cab,350 L4H1 Ch/P/Dp 68kWh 184 Trend 22A,62965,53,
FOTR00349KDE A2 5  L,FO038425,Ford,E-Transit Chassis Cab,350 L4H1 Ch/P/Dp 68kWh 269 Leader 22A,60517,57,
FOTR003T48DE A2 5  L,FO038427,Ford,E-Transit Chassis Cab,350 L4H1 Ch/P/Dp 68kWh 269 Trend 22A,64345,55,
FOTR003L43HE A2 5  L,FO037217,Ford,E-Transit Van,350 L4H3 68kWh 184ps Leader 22A,57415,57,
FOTR003T43HE A2 5  L,FO037219,Ford,E-Transit Van,350 L4H3 68kWh 184ps Trend 22A,61243,55,
FOTR003L48HE A2 5  L,FO037218,Ford,E-Transit Van,350 L4H3 68kWh 269ps Leader 22A,58795,59,
FOTR003T48HE A2 5  L,FO037220,Ford,E-Transit Van,350 L4H3 68kWh 269ps Trend 22A,62623,57,
FOTR009T236E A2 5  L,FO037129,Ford,E-Transit Van over 3.5t,390 L2H2 68kWh 184ps Trend 22A,59383,30,
FOTR009T286E A2 5  L,FO037131,Ford,E-Transit Van over 3.5t,390 L2H2 68kWh 269ps Trend 22A,60763,30,
FOTR009T23HE A2 5  L,FO037130,Ford,E-Transit Van over 3.5t,390 L2H3 68kWh 184ps Trend 22A,60583,30,
FOTR009T28HE A2 5  L,FO037132,Ford,E-Transit Van over 3.5t,390 L2H3 68kWh 269ps Trend 22A,61963,30,
FOTR009T33BE A2 5  L,FO038412,Ford,E-Transit Chassis Cab,390 L3H1 68kWh 184ps Trend 22A,57925,54,
FOTR0093T8BE A2 5  L,FO038414,Ford,E-Transit Chassis Cab,390 L3H1 68kWh 269ps Trend 22A,59305,56,
FOTR009T336E A2 5  L,FO037197,Ford,E-Transit Van over 3.5t,390 L3H2 68kWh 184ps Trend 22A,62203,30,
FOTR009T386E A2 5  L,FO037199,Ford,E-Transit Van over 3.5t,390 L3H2 68kWh 269ps Trend 22A,63583,30,
FOTR0093T3ZE A2 5  L,FO037121,Ford,E-Transit Double Cab In Van,390 L3H2 68kWh 184 Trend Auto 22A,62203,57,
FOTR0093T8ZE A2 5  L,FO037123,Ford,E-Transit Double Cab In Van,390 L3H2 68kWh 269 Trend Auto 22A,63583,59,
FOTR009T33HE A2 5  L,FO037198,Ford,E-Transit Van over 3.5t,390 L3H3 68kWh 184ps Trend 22A,63403,30,
FOTR009T38HE A2 5  L,FO037200,Ford,E-Transit Van over 3.5t,390 L3H3 68kWh 269ps Trend 22A,64783,30,
FOTR009T33ZE A2 5  L,FO037122,Ford,E-Transit Double Cab In Van,390 L3H3 68kWh 184 Trend Auto 22A,63403,57,
FOTR009T38ZE A2 5  L,FO037124,Ford,E-Transit Double Cab In Van,390 L3H3 68kWh 269 Trend Auto 22A,64783,59,
FOTR009T43BE A2 5  L,FO038413,Ford,E-Transit Chassis Cab,390 L4H1 68kWh 184ps Trend 22A,59125,53,
FOTR009T48BE A2 5  L,FO038415,Ford,E-Transit Chassis Cab,390 L4H1 68kWh 269ps Trend 22A,60505,56,
FOTR009T43HE A2 5  L,FO037213,Ford,E-Transit Van over 3.5t,390 L4H3 68kWh 184ps Trend 22A,62203,30,
FOTR009T48HE A2 5  L,FO037214,Ford,E-Transit Van over 3.5t,390 L4H3 68kWh 269ps Trend 22A,63583,30,
FOTR004T236E A2 5  L,FO037133,Ford,E-Transit Van over 3.5t,425 L2H2 68kWh 184ps Trend 22A,60223,30,
FOTR004T286E A2 5  L,FO037135,Ford,E-Transit Van over 3.5t,425 L2H2 68kWh 269ps Trend 22A,61603,30,
FOTR004T23HE A2 5  L,FO037134,Ford,E-Transit Van over 3.5t,425 L2H3 68kWh 184ps Trend 22A,61423,30,
FOTR004T28HE A2 5  L,FO037136,Ford,E-Transit Van over 3.5t,425 L2H3 68kWh 269ps Trend 22A,62803,30,
FOTR004T33BE A2 5  L,FO038416,Ford,E-Transit Chassis Cab,425 L3H1 68kWh 184ps Trend 22A,58765,53,
FOTR004T38BE A2 5  L,FO038418,Ford,E-Transit Chassis Cab,425 L3H1 68kWh 269ps Trend 22A,60145,55,
FOTR004T336E A2 5  L,FO037201,Ford,E-Transit Van over 3.5t,425 L3H2 68kWh 184ps Trend 22A,63043,30,
FOTR004T386E A2 5  L,FO037203,Ford,E-Transit Van over 3.5t,425 L3H2 68kWh 269ps Trend 22A,64423,30,
FOTR0043T3ZE A2 5  L,FO037125,Ford,E-Transit Double Cab In Van,425 L3H2 68kWh 184 Trend Auto 22A,63043,58,
FOTR0043T8ZE A2 5  L,FO037127,Ford,E-Transit Double Cab In Van,425 L3H2 68kWh 269 Trend Auto 22A,64423,60,
FOTR004T33HE A2 5  L,FO037202,Ford,E-Transit Van over 3.5t,425 L3H3 68kWh 184ps Trend 22A,64243,30,
FOTR004T38HE A2 5  L,FO037204,Ford,E-Transit Van over 3.5t,425 L3H3 68kWh 269ps Trend 22A,65623,30,
FOTR004T33ZE A2 5  L,FO037126,Ford,E-Transit Double Cab In Van,425 L3H3 68kWh 184 Trend Auto 22A,64243,57,
FOTR004T38ZE A2 5  L,FO037128,Ford,E-Transit Double Cab In Van,425 L3H3 68kWh 269 Trend Auto 22A,65623,60,
FOTR004T43BE A2 5  L,FO038417,Ford,E-Transit Chassis Cab,425 L4H1 68kWh 184ps Trend 22A,60025,53,
FOTR004T48BE A2 5  L,FO038419,Ford,E-Transit Chassis Cab,425 L4H1 68kWh 269ps Trend 22A,61405,55,
FOTR004T43HE A2 5  L,FO037215,Ford,E-Transit Van over 3.5t,425 L4H3 68kWh 184ps Trend 22A,63043,30,
FOTR004T48HE A2 5  L,FO037216,Ford,E-Transit Van over 3.5t,425 L4H3 68kWh 269ps Trend 22A,64423,30,
FOFI10TRNDVPIM2 8  L,FO038403,Ford,Fiesta Van,1.0 EcoBoost 100PS Trend 22,19939.63,52,
FOFI10SP  VPIM2 9  L,FO037511,Ford,Fiesta Van,1.0 EcoBoost 125PS Sport 22,21403.63,57,
FOFI10MHSPVPIM2 9  L,FO037512,Ford,Fiesta Van,1.0 EcoBoost mHEV 125PS Sport 22,22939.63,54,
FOFI10MHTRVPIM2 9  L,FO037513,Ford,Fiesta Van,1.0 EcoBoost mHEV 125PS Trend 22,21313.63,53,
FORA20RSE 7DTA4 6XXL,FO036435,Ford,Ranger,P/Up 2.0 Eb/Dcb Raptor S/E AU 4X4 22,54595.64,53,
FORA20MSR 7DTA4 6XXL,FO038462,Ford,Ranger,P/Up 2.0 Ecb Dcb Ms-Rt L/E AU 4X4 22,60325.64,44,
FORA20RXL PDTM4 6  L,FO036419,Ford,Ranger,Pick Up 2.0 Ecoblue 130 Regular XL 4X4 22,30295.64,52,
FORA20RXL7PDTM4 6  L,FO036420,Ford,Ranger,Pick Up 2.0 Ecoblue 170 Regular XL 4X4 22,31075.64,55,
FORA20SXL PDTM4 6  L,FO036421,Ford,Ranger,Pick Up 2.0 Ecoblue 170 Super XL 4X4 22,32035.64,61,
FORA20XSU PDTM4 6  L,FO036423,Ford,Ranger,Pick Up 2.0 Ecoblue 170 Super Xlt 4X4 22,33415.64,64,
FORA20LD  7DTA4 6  L,FO036427,Ford,Ranger,Pickup 2.0 Ebi 170 Dcb Ltd AU 4X4 22,40993.64,60,
FORA20LD217DTA4 6  L,FO036428,Ford,Ranger,Pickup 2.0 Ebi 213 Dcb Ltd AU 4X4 22,41965.64,61,
FORA20XL  BDTM4 6  L,FO036431,Ford,Ranger,Pick Up 2.0 Ecoblue 170 Chassis Cab XL 4X4 22,30895.64,58,
FORA20XL  7DTM4 6  L,FO036422,Ford,Ranger,Pick Up 2.0 Ecoblue 170 Double Cab XL 4X4 22,32995.64,61,
FORA20XLT 7DTM4 6  L,FO036424,Ford,Ranger,Pick Up 2.0 Ecoblue 170 Double Cab Xlt 4X4 22,34375.64,65,
FORA20LD  7DTM4 6  L,FO036426,Ford,Ranger,Pick Up 2.0 Ecoblue 170 Double Cab Limited 4X4 22,39253.64,61,
FORA20LDS PDTM4 6  L,FO036425,Ford,Ranger,Pick Up 2.0 Ecoblue 170 Super Limited 4X4 22,38293.64,60,
FORA20WLF 7DTM4 6XXL,FO036433,Ford,Ranger,Pick Up 2.0 Ecoblue Double Cab Wlftrk 4X4 22,35395.64,68,
FORA20RAP 7DTA4 6  L,FO036430,Ford,Ranger,Pick Up 2.0 Ecoblue Double Cab Raptor Auto 4X4 22,53695.64,53,
FORA20STMD7DTA4 6XXL,FO036434,Ford,Ranger,Pick Up 2.0 Ecoblue Double Cab Stmtrk Auto 4X4 22,44245.64,62,
FORA20WILD7DTA4 6  L,FO036429,Ford,Ranger,Pick Up 2.0 Ecoblue Double Cab Wldtrk Auto 4X4 22,43645.64,62,
FOCT1022T6YRTA2 1XXX,FO037989,Ford,Transit Custom Tourneo,320L1 1.0 Fox Phev Titanium Auto 22A,53989,47,
FOCT2073TXYDTA2 1,FO037966,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 170 Titanium X Auto 22A,53881,50,
FOCT2031HTYDTM2 1,FO038010,Ford,Transit Custom Tourneo,320L1 2.0 Ecb mHEV 130 Titanium 22A,49525,49,
FOCT205HT3YDTM2 1,FO038029,Ford,Transit Custom Tourneo,320L1 2.0 Ecb mHEV 150 Titanium 22A,50377,51,
FOCT207RTXYDTA2 1,FO037977,Ford,Transit Custom Tourneo,320L1 2.0 Ecb Titanium X Ras Auto 22A,55681,50,
FOCT203L3RYDTA2 1,FO037990,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 130 Shuttle Ras Auto 22A,46309,50,
FOCT205XTRYDTM2 1,FO037978,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 150 Titanium X Ras 22A,54253,51,
FOCT2072TXYDTA2 1,FO037968,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 170 Titanium X Auto 22A,54721,50,
FOCT203H2TYDTM2 1,FO038011,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV 130 Titanium 22A,50365,49,
FOCT2053T2YDTM2 1,FO038030,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV 150 Titanium 22A,51217,51,
FOCT207XTRYDTA2 1,FO037979,Ford,Transit Custom Tourneo,320L2 2.0 Ecb Titanium X Ras Auto 22A,56521,50,
FOCT205HTRYDTM2 1,FO037980,Ford,Transit Custom Tourneo,320L1 2.0 Ecb mHEV Titanium X Ras 22A,55393,51,
FOCT207HTRYDTM2 1,FO037981,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV Titanium X Ras 22A,56233,51,
FOCT20215ZYDTM2 1,FO038000,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 105PS Zetec 22A,44275,50,
FOCT202LA3YDTM2 1,FO038012,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 130 Active 22A,48871,50,
FOCT2033TSYDTM2 1,FO038008,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 130 Titanium 22A,47545,50,
FOCT20339SYDTA2 1,FO038004,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 130 Titanium Auto 22A,49285,51,
FOCT20239ZYDTA2 1,FO037998,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 130 Zetec Auto 22A,47095,50,
FOCT20213ZYDTM2 1,FO037999,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 130PS Zetec 22A,45355,50,
FOCT202LA5YDTM2 1,FO037974,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 150 Active 22A,49723,51,
FOCT2053TXYDTM2 1,FO037965,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 150 Titanium X 22A,51613,51,
FOCT2051T3YDTM2 1,FO037984,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 150 Titanium 22A,48397,50,
FOCT20315SYDTM2 1,FO037971,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 150PS Sport 22A,50473,51,
FOCT202LA7YDTA2 1,FO037975,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 170 Active Auto 22A,52111,50,
FOCT2031S7YDTA2 1,FO037972,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 170 Sport Auto 22A,51523,49,
FOCT2071T3YDTA2 1,FO037982,Ford,Transit Custom Tourneo,320L1 2.0 Ecb 170 Titanium Auto 22A,50785,49,
FOCT2032HZYDTM2 1,FO037993,Ford,Transit Custom Tourneo,320L1 2.0 Ecb mHEV 105 Zetec 22A,46255,49,
FOCT202H3ZYDTM2 1,FO038007,Ford,Transit Custom Tourneo,320L1 2.0 Ecb mHEV 130 Zetec 22A,47335,49,
FOCT20LAH3YDTM2 1,FO038013,Ford,Transit Custom Tourneo,320L1 2.0 Ecb mHEV Active 22A,50851,51,
FOCT205HTXYDTM2 1,FO037969,Ford,Transit Custom Tourneo,320L1 2.0 Ecb mHEV Titanium X 22A,53593,51,
FOCT205RTXYDTM2 1,FO037976,Ford,Transit Custom Tourneo,320L1 2.0 Ecb Titanium X Ras 22A,53413,51,
FOCT203L5SYDTM2 1,FO037991,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 105 Shuttle Ras 22A,43489,50,
FOCT203L5 YDTM2 1,FO038002,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 105 Shuttle 22A,41689,50,
FOCT20225ZYDTM2 1,FO037995,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 105PS Zetec 22A,45115,50,
FOCT203L3 YDTA2 1,FO038001,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 130 Shuttle Auto 22A,44509,51,
FOCT203L3RYDTM2 1,FO037992,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 130 Shuttle Ras 22A,44569,50,
FOCT203L3 YDTM2 1,FO038003,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 130 Shuttle 22A,42769,50,
FOCT20323TYDTM2 1,FO038009,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 130 Titanium 22A,48385,50,
FOCT20239SYDTA2 1,FO038005,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 130 Titanium Auto 22A,50125,49,
FOCT20293ZYDTA2 1,FO037996,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 130 Zetec Auto 22A,47935,50,
FOCT20232ZYDTM2 1,FO037997,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 130PS Zetec 22A,46195,50,
FOCT2052TXYDTM2 1,FO037967,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 150 Titanium X 22A,52453,51,
FOCT205H2TYDTM2 1,FO037985,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 150 Titanium 22A,49237,50,
FOCT20325SYDTM2 1,FO037973,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 150PS Sport 22A,51313,51,
FOCT2073T2YDTA2 1,FO037983,Ford,Transit Custom Tourneo,320L2 2.0 Ecb 170 Titanium Auto 22A,51625,49,
FOCT202H10YDTM2 1,FO038021,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV 105 Shuttle 22A,43669,50,
FOCT20225HYDTM2 1,FO037994,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV 105 Zetec 22A,47095,49,
FOCT202H30YDTM2 1,FO038022,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV 130 Shuttle 22A,44749,50,
FOCT202H2ZYDTM2 1,FO038006,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV 130 Zetec 22A,48175,49,
FOCT202AH3YDTM2 1,FO038014,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV Active 22A,51691,51,
FOCT202H1RYDTM2 1,FO038019,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV Shuttle Ras 22A,45469,49,
FOCT207HTXYDTM2 1,FO037970,Ford,Transit Custom Tourneo,320L2 2.0 Ecb mHEV Titanium X 22A,54433,51,
FOTR209L5L6DTM2 5  L,FO037473,Ford,Transit Van L2,290 L2H2 2.0TDCi 105 EcoBlue Leader FWD 22A,40243,51,
FOTR209L3L6DTM2 5  L,FO037472,Ford,Transit Van L2,290 L2H2 2.0TDCi 130 EcoBlue Leader FWD 22A,41023,51,
FOTR209L3T6DTM2 5  L,FO037432,Ford,Transit Van L2,290 L2H2 2.0TDCi 130 EcoBlue Trend FWD 22A,44851,50,
FOTR20L11L6DTM2 5  L,FO037475,Ford,Transit Van L2,310 L2H2 2.0TDCi 105 EcoBlue Leader FWD 22A,41203,51,
FOTR20L23I6DTA2 5  L,FO037440,Ford,Transit Van L2,310 L2H2 2.0TDCi 130 EcoBlue Limited FWD Auto 22A,50527,50,
FOTR201LT36DTA2 5  L,FO037434,Ford,Transit Van L2,310 L2H2 2.0TDCi 130 EcoBlue Trend FWD Auto 22A,47671,50,
FOTR20L3LE6DTM2 5  L,FO037474,Ford,Transit Van L2,310 L2H2 2.0TDCi 130 EcoBlue Leader FWD 22A,41983,51,
FOTR201LT36DTM2 5  L,FO037433,Ford,Transit Van L2,310 L2H2 2.0TDCi 130 EcoBlue Trend FWD 22A,45811,50,
FOTR20L27I6DTA2 5  L,FO037441,Ford,Transit Van L2,310 L2H2 2.0TDCi 170 EcoBlue Limited FWD Auto 22A,51727,51,
FOTR20L11LHDTM2 5  L,FO037445,Ford,Transit Van L2,310 L2H3 2.0TDCi 105 EcoBlue Leader FWD 22A,42403,51,
FOTR20L23IHDTA2 5  L,FO037466,Ford,Transit Van L2,310 L2H3 2.0TDCi 130 EcoBlue Limited FWD Auto 22A,51727,50,
FOTR201LT3HDTA2 5  L,FO037460,Ford,Transit Van L2,310 L2H3 2.0TDCi 130 EcoBlue Trend FWD Auto 22A,48871,50,
FOTR20L3LEHDTM2 5  L,FO037446,Ford,Transit Van L2,310 L2H3 2.0TDCi 130 EcoBlue Leader FWD 22A,43183,51,
FOTR201LT3HDTM2 5  L,FO037459,Ford,Transit Van L2,310 L2H3 2.0TDCi 130 EcoBlue Trend FWD 22A,47011,50,
FOTR20L27IHDTA2 5  L,FO037467,Ford,Transit Van L2,310 L2H3 2.0TDCi 170 EcoBlue Limited FWD Auto 22A,52927,51,
FOTR2035LL6DTM2 5  L,FO037765,Ford,Transit Van L3/L4,310 L3H2 2.0TDCi 105 EcoBlue Leader FWD 22A,42163,51,
FOTR2033L06DTM2 5  L,FO037766,Ford,Transit Van L3/L4,310 L3H2 2.0TDCi 130 EcoBlue Leader FWD 22A,42943,51,
FOTR2031T36DTM2 5  L,FO037702,Ford,Transit Van L3/L4,310 L3H2 2.0TDCi 130 EcoBlue Trend FWD 22A,46771,50,
FOTR2035LLHDTM2 5  L,FO037715,Ford,Transit Van L3/L4,310 L3H3 2.0TDCi 105 EcoBlue Leader FWD 22A,43363,51,
FOTR2033L0HDTM2 5  L,FO037716,Ford,Transit Van L3/L4,310 L3H3 2.0TDCi 130 EcoBlue Leader FWD 22A,44143,51,
FOTR2031T3HDTM2 5  L,FO037745,Ford,Transit Van L3/L4,310 L3H3 2.0TDCi 130 EcoBlue Trend FWD 22A,47971,50,
FOTR20305L6DTM2 5  L,FO037480,Ford,Transit Van L2,330 L2H2 2.0TDCi 105 EcoBlue Leader FWD 22A,43843,50,
FOTR20303L6DTM2 5  L,FO037476,Ford,Transit Van L2,330 L2H2 2.0TDCi 130 EcoBlue Leader FWD 22A,44623,50,
FOTR20305LHDTM2 5  L,FO037447,Ford,Transit Van L2,330 L2H3 2.0TDCi 105 EcoBlue Leader FWD 22A,45043,50,
FOTR20303LHDTM2 5  L,FO037448,Ford,Transit Van L2,330 L2H3 2.0TDCi 130 EcoBlue Leader FWD 22A,45823,50,
FOTR20335L6DTM2 5  L,FO037768,Ford,Transit Van L3/L4,330 L3H2 2.0TDCi 105 EcoBlue Leader FWD 22A,44803,50,
FOTR20033L6DTM2 5  L,FO037767,Ford,Transit Van L3/L4,330 L3H2 2.0TDCi 130 EcoBlue Leader FWD 22A,45583,50,
FOTR20335LHDTM2 5  L,FO037717,Ford,Transit Van L3/L4,330 L3H3 2.0TDCi 105 EcoBlue Leader FWD 22A,46003,50,
FOTR20033LHDTM2 5  L,FO037718,Ford,Transit Van L3/L4,330 L3H3 2.0TDCi 130 EcoBlue Leader FWD 22A,46783,50,
FOTR201T1WTDTM4 5  L,FO038046,Ford,Transit One Stop,350 AWD L2 Tipper 2.0TDCi 130 1WAY 22A,55537,52,
FOTR201T1WMDTM4 5  L,FO038045,Ford,Transit One Stop,350 AWD L3 Double Cab Tipper 2.0TDCi 130 1WAY 22A,59869,51,
FOTR201LSVLDTM2 5  L,FO038044,Ford,Transit One Stop,350 FWD L3 Lfl/Lt 2.0TDCi 130 Skeletal 22A,57883,49,
FOTR20QLSVLDTM2 5XXL,FO038095,Ford,Transit One Stop,350 FWD L3 Lfl/Lt 2.0TDCi 170 Skeletal 22A,59083,50,
FOTR203LSVLDTM2 5  L,FO038067,Ford,Transit One Stop,350 FWD L5 Lfl/Lt 2.0TDCi 130 Skeletal 22A,64243,47,
FOTR201T1WTDTM2 5  L,FO038064,Ford,Transit One Stop,350 FWD L2 Tipper 2.0TDCi 130 1WAY 22A,49525,52,
FOTR20323WTDTM2 5  L,FO038058,Ford,Transit One Stop,350 FWD L2 Tipper 2.0TDCi 130 3WAY 22A,50845,52,
FOTR201AT1TDTM2 5  L,FO038065,Ford,Transit One Stop,350 FWD L2 Tipper 2.0TDCi 130 1Way Aluminium 22A,50725,51,
FOTR201AT1MDTM2 5  L,FO038052,Ford,Transit One Stop,350 FWD L3 D/Tp 2.0TDCi 130 1/AL 22A,54127,51,
