Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100069,POTS004S 5EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 390kW 4S 79kWh 5Dr Auto,2022,5,Electric,Estate,4,Auto,2,530,1,0,0,71666.67,71666.67,0,86055,0,86000,24,20000,1238.31,0,1238.3,123.83,1362.13,42.7,24,30000,1336.09,0,1336.08,133.61,1469.69,42.7,222,79.2, 
100070,POTS004S55EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 390kW 4S 79kWh 5Dr Auto [5 Seat],2022,5,Electric,Estate,5,Auto,2,530,1,0,0,71946.67,71946.67,0,86391,0,86336,24,20000,1239.23,0,1239.23,123.92,1363.15,42.7,24,30000,1337.01,0,1337.01,133.7,1470.71,43.05,222,79.2, 
100075,JERE15S  5HPTA  1,Jeep,Renegade,Jeep Renegade Hatchback 1.5 T4 E-torque Hybrid S 5Dr DCT,2022,5,Petrol,Hatchback,5,Auto,7,130,1469,139,49.5,26379.17,26379.17,0,32666,0,32355,24,20000,733.28,0,733.28,73.33,806.61,9.45,24,30000,756.77,0,756.76,75.68,832.44,9.1,0,0, 
100076,VAMK12DN15HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo 100 Design 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,100,1199,125,51.4,17766.67,17766.67,444.16,21732,0,22020,24,20000,393.14,0,393.14,39.31,432.45,8.05,24,30000,412.62,0,412.62,41.26,453.88,7.7,0,0, 
100077,VAMK12GS05HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo 100 GS Line 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,100,1199,127,51.4,19745.83,19745.83,493.64,24047.61,0,24394.99,24,20000,421.47,0,421.47,42.15,463.62,9.1,24,30000,443.48,0,443.49,44.35,487.84,8.75,0,0, 
100078,VAMK12DES5HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo Design 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,130,1199,126,51.4,18766.67,18766.67,469.16,22902,0,23220,24,20000,417.06,0,417.05,41.71,458.76,8.4,24,30000,437.39,0,437.38,43.74,481.12,8.05,0,0, 
100079,VAMK12DES5HPTA  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo Design 5Dr Auto,2022,5,Petrol,Hatchback,5,Auto,8,130,1199,137,47.9,19908.33,19908.33,497.7,24277.74,0,24589.99,24,20000,459.73,0,459.73,45.97,505.7,8.75,24,30000,481.46,0,481.46,48.15,529.61,8.4,0,0, 
100080,VAMK12GSL5HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo GS Line 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,130,1199,126,51.4,20745.83,20745.83,518.64,25217.61,0,25594.99,24,20000,446.24,0,446.23,44.62,490.85,9.45,24,30000,469.1,0,469.1,46.91,516.01,9.1,0,0, 
100081,VAMK12GSL5HPTA  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo GS Line 5Dr Auto,2022,5,Petrol,Hatchback,5,Auto,8,130,1199,137,47.9,22079.17,22079.17,551.97,26817.62,0,27195,24,20000,497.08,0,497.08,49.71,546.79,10.15,24,30000,522.31,0,522.3,52.23,574.53,9.1,0,0, 
100082,VAMK12ULT5HPTM  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo Ultimate 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,130,1199,126,51.4,23429.17,23429.17,585.72,28357.12,0,28815,24,20000,509.26,0,509.26,50.93,560.19,10.5,24,30000,534.68,0,534.67,53.47,588.14,9.8,0,0, 
100083,VAMK15DES5HDTM  1,Vauxhall,Mokka,Vauxhall Mokka Diesel Hatchback 1.5 Turbo D Design 5Dr,2022,5,Diesel,Hatchback,5,Manual,6,110,1499,114,65.7,19266.67,19266.67,481.66,23487,0,23820,24,20000,441.72,0,441.71,44.17,485.88,8.4,24,30000,462.04,0,462.03,46.2,508.23,8.75,0,0,RDE 2
100084,VAMK15GSL5HDTM  1,Vauxhall,Mokka,Vauxhall Mokka Diesel Hatchback 1.5 Turbo D GS Line 5Dr,2022,5,Diesel,Hatchback,5,Manual,6,110,1499,116,65.7,21245.83,21245.83,531.14,25802.61,0,26194.99,24,20000,470.06,0,470.05,47.01,517.06,9.45,24,30000,492.92,0,492.91,49.29,542.2,9.8,0,0,RDE 2
100085,VAMK00GSL5HE A  1,Vauxhall,Mokka,Vauxhall Mokka-e Electric Hatchback 100kW GS Line 50kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,136,1,0,0,25983.33,25983.33,0,31934.99,0,31879.99,24,20000,468.14,0,468.14,46.81,514.95,13.65,24,30000,499.4,0,499.4,49.94,549.34,13.65,201,50, 
100086,VACO12DES5HPTM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo Design 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,100,1199,117,52.3,14412.5,14412.5,360.31,17807.61,0,17995,24,20000,345.91,0,345.9,34.59,380.49,7.55,24,30000,362.85,0,362.84,36.29,399.13,7.55,0,0, 
100087,VACO12GSL5HPTM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo GS Line 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,100,1199,119,52.3,16204.17,16204.17,405.1,19903.87,0,20145,24,20000,386.91,0,386.9,38.69,425.59,8.05,24,30000,406.39,0,406.38,40.64,447.02,7.7,0,0, 
100088,VACO12GSL5HPTA  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo GS Line 5Dr Auto,2022,5,Petrol,Hatchback,5,Auto,8,130,1199,123,50.4,18454.17,18454.17,461.35,22536.37,0,22845,24,20000,431.39,0,431.38,43.14,474.52,9.45,24,30000,454.26,0,454.25,45.43,499.68,8.75,0,0, 
100089,VACO12DES5HPIM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Design 5Dr,2022,5,Petrol,Hatchback,5,Manual,5,75,1199,118,53.3,13662.5,13662.5,341.56,16930.11,0,17095,24,20000,326.29,0,326.28,32.63,358.91,7.55,24,30000,343.22,0,343.21,34.32,377.53,7.55,0,0, 
100090,VACO12DES5HPTA  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo Design 5Dr Auto,2022,5,Petrol,Hatchback,5,Auto,8,100,1199,121,48.7,15854.17,15854.17,396.35,19494.37,0,19725,24,20000,371.76,0,371.76,37.18,408.94,8.05,24,30000,391.23,0,391.23,39.12,430.35,7.7,0,0, 
