CAP CODE,Manufacturer,Model,Variant,Basic List Price
BMX320MXL5EDTA4 5,BMW,X3,BMW X3 Diesel Estate Xdrive20d MHT Xline 5Dr Step Auto,37575
BMX320MHT5EDTA4 5,BMW,X3,BMW X3 Diesel Estate Xdrive20d MHT M Sport 5Dr Step Auto,39075
BMX320SPK5EDTA4 5,BMW,X3,BMW X3 Diesel Estate Xdrive20d MHT M Sport 5Dr Step Auto [pro Pack],40908.33
BMX330MHT5EDTA4 5,BMW,X3,BMW X3 Diesel Estate Xdrive30d MHT M Sport 5Dr Auto,43833.33
BMX330SPK5EDTA4 5,BMW,X3,BMW X3 Diesel Estate Xdrive30d MHT M Sport 5Dr Auto [pro Pack],45666.67
BMX330MH45EDTA4 5,BMW,X3,BMW X3 Diesel Estate Xdrive M40d MHT 5Dr Auto,49791.67
MSQU30GT 4SPTA  4,Maserati,Quattroporte,Maserati Quattroporte Saloon V6 GT 4Dr Auto,73033.33
MSQU30GTP4SPTA  4,Maserati,Quattroporte,Maserati Quattroporte Saloon V6 GT Sport Pack 4Dr Auto,74933.33
BMX420MHT5EDTA4 2,BMW,X4,BMW X4 Diesel Estate Xdrive20d MHT M Sport 5Dr Step Auto,41645.83
BMX430MHT5EDTA4 2,BMW,X4,BMW X4 Diesel Estate Xdrive30d MHT M Sport 5Dr Auto,46375
BMX420HMR5EDTA4 2,BMW,X4,BMW X4 Diesel Estate Xdrive20d MHT M Sport 5Dr Step Auto [pro Pack],43479.17
BMX430M4I5EPTA4 2,BMW,X4,BMW X4 Estate Xdrive M40i MHT 5Dr Auto,52250
BMX430HMR5EDTA4 2,BMW,X4,BMW X4 Diesel Estate Xdrive30d MHT M Sport 5Dr Auto [pro Pack],48208.33
BMX430MH45EDTA4 2,BMW,X4,BMW X4 Diesel Estate Xdrive M40d MHT 5Dr Auto,52250
BMI400E4S5HE A,BMW,I4,BMW I4 Gran Coupe 250kW Edrive40 Sport 83.9kWh 5Dr Auto,43812.5
BMI400E4T5HE A,BMW,I4,BMW I4 Gran Coupe 250kW Edrive40 Sport 83.9kWh 5Dr Auto [tech Pack],45395.83
BMI400E4M5HE A,BMW,I4,BMW I4 Gran Coupe 250kW Edrive40 M Sport 83.9kWh 5Dr Auto,45062.5
BMI400ET45HE A,BMW,I4,BMW I4 Gran Coupe 250kW Edrive40 M Sport 83.9kWh 5Dr Auto [tech Pack,46645.83
BMI400EP45HE A,BMW,I4,BMW I4 Gran Coupe 250kW Edrive40 M Sport 83.9kWh 5Dr Auto [pro Pack],47145.83
BMI400ETP5HE A,BMW,I4,BMW I4 Gran Coupe 250kW Edrive40 M Sport 83.9kWh 5Dr Auto [tech/pro],48729.17
BMI400M505HE A4,BMW,I4,BMW I4 Gran Coupe 400kW M50 83.9kWh 5Dr Auto,54075
BM4S20MS 5HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe 420i M Sport 5Dr Step Auto,34558.33
BM4S20MTE5HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe 420i M Sport 5Dr Step Auto [tech Pack],35433.33
BM4S20SPK5HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe 420i M Sport 5Dr Step Auto [pro Pack],36641.67
BM4S20TPM5HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe 420i M Sport 5Dr Step Auto [tech/pro Pack],37516.67
BM4S2030M5HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe 430i M Sport 5Dr Step Auto,37987.5
BM4S203PT5HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe 430i M Sport 5Dr Step Auto [tech Pack],38862.5
BM4S20ML35HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe 430i M Sport 5Dr Step Auto [pro Pack],40070.83
BM4S20PT35HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe 430i M Sport 5Dr Step Auto [tech/pro Pack],40945.83
BM4S30MT45HPTA4 1,BMW,4 Series,BMW 4 Series Gran Coupe M440i Xdrive MHT 5Dr Step Auto,46270.83
BM4S20MHT5HDTA  1,BMW,4 Series,BMW 4 Series Gran Diesel Coupe 420d MHT M Sport 5Dr Step Auto,36941.67
BM4S20MTH5HDTA  1,BMW,4 Series,BMW 4 Series Gran Diesel Coupe 420d MHT M Sport 5Dr Step Auto [tech Pack],37816.67
BM4S20HMR5HDTA  1,BMW,4 Series,BMW 4 Series Gran Diesel Coupe 420d MHT M Sport 5Dr Step Auto [pro Pack],39025
BM4S20HMT5HDTA  1,BMW,4 Series,BMW 4 Series Gran Diesel Coupe 420d MHT M Sport 5Dr Step Auto [tech/pro Pack],39900
BM4S20MHT5HDTA4 1,BMW,4 Series,BMW 4 Series Gran Diesel Coupe 420d Xdrive MHT M Sport 5Dr Step Auto,38233.33
BM4S20MTH5HDTA4 1,BMW,4 Series,BMW 4 Series Gran Diesel Coupe 420d Xdrive MHT M Sport 5Dr Step Auto [tech Pack],39108.33
BM4S20HMR5HDTA4 1,BMW,4 Series,BMW 4 Series Gran Diesel Coupe 420d Xdrive MHT M Sport 5Dr Step Auto [pro Pack],40316.67
BM4S20HMT5HDTA4 1,BMW,4 Series,BMW 4 Series Gran Diesel Coupe 420d Xdrive MHT M Sport 5Dr Step Auto [tech/pro],41191.67
BM4S20MME5HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe Special Editions 420i M Sport Pro Edition 5Dr Step Auto,38558.33
BM4S20MED5HPTA  1,BMW,4 Series,BMW 4 Series Gran Coupe Special Editions 430i M Sport Pro Edition 5Dr Step Auto,41737.5
BM4S20M5E5HDTA  1,BMW,4 Series,BMW 4 Series Gran Coupe Special Editions 420d MHT M Sport Pro Edition 5Dr Step A,40941.67
BM4S20M5E5HDTA4 1,BMW,4 Series,BMW 4 Series Gran Coupe Special Editions 420d Xdrive MHT M Sport Pro Edition 5Dr,42233.33
SEIB10SE 5HPIM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 MPI SE 5Dr,14591.67
SEIB10SE95HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 95 SE 5Dr,14966.67
SEIB10SEY5HPIM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 MPI SE Technology 5Dr,15420.83
SEIB109ST5HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 95 SE Technology 5Dr,15795.83
SEIB10FR 5HPIM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 MPI FR 5Dr,16508.33
SEIB109FR5HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 95 FR 5Dr,16950
SEIB10FR05HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 110 FR 5Dr,17295.83
SEIB10FR05HPTA  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 110 FR 5Dr DSG,18195.83
SEIB10FS 5HPIM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 MPI FR Sport 5Dr,17216.67
SEIB105FS5HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 95 FR Sport 5Dr,17658.33
SEIB10F1S5HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 110 FR Sport 5Dr,18004.17
SEIB10F1S5HPTA  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 110 FR Sport 5Dr DSG,18904.17
SEIB10X955HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 95 Xcellence 5Dr,17129.17
SEIB10XE05HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 110 Xcellence 5Dr,17341.67
