Cap Code,Manufacturer,Model Name,Variant,Basic List,Ex Works,Registration Fee,RFL 1 Year,Discount,Dealer,Additional,Gov Grant,OTR,CapType,RFL,OTR
KISP162  5EPIM  5   ,KIA,SPORTAGE,1.6 GDi ISG 2 5dr,19608.33,537.5,55,555,0,0,0,0,24785,CAR,585,24815
KISP162  5EPTM4 5   ,KIA,SPORTAGE,1.6T GDi ISG 2 5dr [AWD],20729.17,537.5,55,895,0,0,0,0,26470,CAR,1420,26995
KISP16GTL5EPTM  5   ,KIA,SPORTAGE,1.6T GDi ISG GT-Line 5dr,22012.5,537.5,55,555,0,0,0,0,27670,CAR,945,28060
BM8S44   2CPTA4 1   ,BMW,8 SERIES,M850i xDrive 2dr Auto,84408.33,708.33,55,1910,12,0,0,0,91950.19,CAR,2015,92055.19
MEAC13PSO5HPTM  6   ,MERCEDES-BENZ,A CLASS,A180 Sport 5dr,21216.67,670.83,55,180,8,0,0,0,24463.2,CAR,230,24513.2
MEAC13SE 5HPTA  6   ,MERCEDES-BENZ,A CLASS,A180 SE 5dr Auto,20570.83,616.67,55,180,8,0,0,0,23685.2,CAR,230,23735.2
VWTI20RLI5EDTA  3   ,VOLKSWAGEN,TIGUAN,2.0 TDI R-Line 5dr DSG,31004.17,529.17,55,180,16,0,0,0,32122.2,CAR,230,32172.2
VWTI20RLI5EDTA4 3   ,VOLKSWAGEN,TIGUAN,2.0 TDI 4Motion R-Line 5dr DSG,32362.5,529.17,55,220,16,0,0,0,33531.4,CAR,585,33896.4
VACO00PSN5HE A  6   ,VAUXHALL,CORSA,100kW SE Nav Premium 50kWh 5dr Auto [7.4kWCh],24070.83,583.33,55,0,6.5,1,0,1500,25973.62,CAR,0,25973.62
VACO00ENP5HE A  6   ,VAUXHALL,CORSA,100kW Elite Nav Premium 50kWh 5dr Auto [7.4kWCh],27075,583.33,55,0,9,1,0,1500,28496,CAR,0,28496
LEUX00PPP5HE A      ,LEXUS,UX,300e 150kW 54.3 kWh 5dr E-CVT [Premium Plus Pack],37803.33,605,55,0,7,0,0,0,42969.52,CAR,0,42969.52
BM2S15M364SPTA      ,BMW,2 SERIES,218i [136] M Sport 4dr DCT,25087.5,708.33,55,180,5,0,0,0,29684.75,CAR,230,29734.75
BMX115S365EPTA  3   ,BMW,X1,sDrive 18i [136] SE 5dr Step Auto,25650,708.33,55,180,7,0,0,0,29710.4,CAR,230,29760.4
BMX12078L5EPTA  3   ,BMW,X1,sDrive 20i [178] xLine 5dr Step Auto,29600,708.33,55,180,7,0,0,0,34118.6,CAR,230,34168.6
NIMI10A9C5HPTM  6   ,NISSAN,MICRA,1.0 IG-T 92 Acenta 5dr [Convenience Pack],14133.33,0,55,160,13,0,0,0,14970.2,CAR,190,15000.2
PE5F12GT 5HPTA      ,PEUGEOT,508,1.2 PureTech GT 5dr EAT8,26000,625,55,160,12.5,3.5,0,0,27173,CAR,190,27203
PE5016AP 5EXTA  2   ,PEUGEOT,508,1.6 Hybrid Allure Premium 5dr e-EAT8,32395.83,625,55,0,15.5,2,0,0,32876.87,CAR,0,32876.87
MEGG203PL5EPTA4 1   ,MERCEDES-BENZ,GLC COUPE,GLC 300 4Matic AMG Line Prem Plus 5dr 9G-Tronic,46550,670.83,55,895,8,0,0,0,53146.2,CAR,1420,53671.2
MEAC13SPO4SPTA      ,MERCEDES-BENZ,A CLASS,A200 Sport 4dr Auto,23920.83,670.83,55,180,8,0,0,0,27448.59,CAR,230,27498.59
CIBL15FX75EDTA      ,CITROEN,BERLINGO,1.5 BlueHDi 130 Feel XL 5dr EAT8 [7 seat],22350,629.17,55,160,18,2.5,0,0,22291.9,CAR,230,22361.9
POTY003794SE A      ,PORSCHE,TAYCAN,300kW 79kWh 4dr RWD Auto [5 Seat],60988.33,0,55,0,0,0,0,0,73241,CAR,0,73241
POTY0039 5EE A4     ,PORSCHE,TAYCAN,350kW 4 93kWh 5dr Auto,67916.67,0,55,0,0,0,0,0,81555,CAR,0,81555
POTY00T5S5EE A4     ,PORSCHE,TAYCAN,500kW Turbo 93kWh 5dr Auto [5 Seat],98580,0,55,0,0,0,0,0,118351,CAR,0,118351
SMFB00EBR2BE A  3   ,SMART,FORTWO CABRIO,60kW EQ BRABUS Line 17kWh 2dr Auto [22kWCh],21716.67,250,55,0,8,0,0,0,24330.21,CAR,0,24330.21
MEEA003AL5HE A4     ,MERCEDES-BENZ,EQA,EQA 300 4Matic 168kW AMG Line 66.5kWh 5dr Auto,42208.33,670.83,55,0,8,0,0,0,47457.99,CAR,0,47457.99
DSD716RV85HPTA      ,DS,DS 7,1.6 PureTech 180 Rivoli 5dr EAT8,33895.83,583.33,55,180,13,3.5,0,0,34898.62,CAR,585,35303.62
BMX220XMS5HDTA4     ,BMW,X2,xDrive 18d M Sport X 5dr Step Auto,32820.83,708.33,55,180,7,0,0,0,37713.04,CAR,230,37763.04
BMX220M3I5HPTA4     ,BMW,X2,M35i 5dr Step Auto,38250,708.33,55,555,7,0,0,0,44147,CAR,945,44537
AUET005I25EE A4     ,AUDI,E-TRON,300kW 55 Quattro 95kWh S Line 5dr Auto C+S 22kWCh,68512.5,550,55,0,0,0,0,0,82930,CAR,0,82930
AUET00TE25HE A4     ,AUDI,E-TRON,230kW 50 Quattro 71kWh Technik 5dr Auto [22kWCh],53683.33,550,55,0,0,0,0,0,65135,CAR,0,65135
SEAN15FS 5HPTA  1   ,SEAT,ARONA,1.5 TSI 150 FR Sport 5dr DSG,21954.17,0,55,180,18,0,0,0,21837.9,CAR,230,21887.9
VACO00PSE5HE A  6   ,VAUXHALL,CORSA,100kW SE Premium 50kWh 5dr Auto [11kWCh],22125,583.33,55,0,6.5,1,0,1500,23813.75,CAR,0,23813.75
BMI300S255HE A  1   ,BMW,I3,125kW 42kWh 5dr Auto [Suite Interior World],29083.33,708.33,55,0,6,0,0,0,33710.99,CAR,0,33710.99
BMI3002555HE A  1   ,BMW,I3,125kW 42kWh 5dr Auto,27416.67,708.33,55,0,6,0,0,0,31831,CAR,0,31831
BMI30025W5HE A  1   ,BMW,I3,125kW 42kWh 5dr Auto [Lodge Interior World],28666.67,708.33,55,0,6,0,0,0,33241,CAR,0,33241
BMI3001255HE A  1   ,BMW,I3,125kW 42kWh 5dr Auto [Loft Interior World],28250,708.33,55,0,6,0,0,0,32771,CAR,0,32771
BMI300SI55HE A  1   ,BMW,I3,135kW S 42kWh 5dr Auto [Loft Interior World],29083.33,708.33,55,0,6,0,0,0,33710.99,CAR,0,33710.99
BMI300SW55HE A  1   ,BMW,I3,135kW S 42kWh 5dr Auto [Suite Interior World],29916.67,708.33,55,0,6,0,0,0,34651,CAR,0,34651
BMI300SR55HE A  1   ,BMW,I3,135kW S 42kWh 5dr Auto,28250,708.33,55,0,6,0,0,0,32771,CAR,0,32771
BMI300SL55HE A  1   ,BMW,I3,135kW S 42kWh 5dr Auto [Lodge Interior World],29500,708.33,55,0,6,0,0,0,34181,CAR,0,34181
BMZ4203SP2RPTA  3   ,BMW,Z4,sDrive 30i Sport 2dr Auto,34987.5,708.33,55,220,10,0,0,0,38911.5,CAR,585,39276.5
BMZ420MS 2RPTA  3   ,BMW,Z4,sDrive 20i M Sport 2dr Auto,33195.83,708.33,55,220,10,0,0,0,36976.5,CAR,585,37341.5
LEUX20FS 5HHIA      ,LEXUS,UX,250h 2.0 F-Sport 5dr CVT [Nav],30082.5,605,55,170,10,0,0,0,33440.1,CAR,180,33450.1
LEUX20PSR5HHIA      ,LEXUS,UX,250h 2.0 5dr CVT [Premium Plus/Sunroof],30628.33,605,55,170,10,0,0,0,34029.6,CAR,180,34039.6
LEUX20TAK5HHIA      ,LEXUS,UX,250h 2.0 Takumi 5dr CVT,35678.33,605,55,170,10,0,0,0,39483.6,CAR,180,39493.6
LEUX20FPF5HHIA      ,LEXUS,UX,250h 2.0 F-Sport 5dr CVT [Premium Plus/Sunroof],32540.83,605,55,170,10,0,0,0,36095.1,CAR,180,36105.1
LEUX20FTP5HHIA      ,LEXUS,UX,250h 2.0 F-Sport 5dr CVT [Takumi Pack],36290.83,605,55,170,10,0,0,0,40145.1,CAR,180,40155.1
LEUX20FPK5HHIA      ,LEXUS,UX,250h 2.0 F-Sport 5dr CVT [Premium Plus],31915.83,605,55,170,10,0,0,0,35420.1,CAR,180,35430.1
DSD715PRE5HDTA      ,DS,DS 7,1.5 BlueHDi Prestige 5dr EAT8,31162.5,583.33,55,160,0,0,0,0,38310,CAR,230,38380
DSD715PEL5HDTA      ,DS,DS 7,1.5 BlueHDi Performance Line 5dr EAT8,29037.5,583.33,55,160,9,3.5,0,0,31404.37,CAR,230,31474.37
MEGE30PLL5EPTA4 1   ,MERCEDES-BENZ,GLE,GLE 450 4Matic AMG Line Prem + 5dr 9G-Tron [7 St],63158.33,670.83,55,1345,8,0,0,0,71931.79,CAR,2005,72591.79
MEGE30LMA5EPTA4 1   ,MERCEDES-BENZ,GLE,GLE 450 4Matic AMG Line 5dr 9G-Tronic [7 Seats],56658.33,670.83,55,1345,8,0,0,0,64755.79,CAR,1410,64820.79
AUET00LED5EE A4     ,AUDI,E-TRON,300kW 55 Quattro 95kWh Launch Edition 5dr Auto,67995.83,550,55,0,0,0,0,0,82310,CAR,0,82310
AUET00   5EE A4     ,AUDI,E-TRON,300kW 55 Quattro 95kWh 5dr Auto,59037.5,550,55,0,0,0,0,0,71560,CAR,0,71560
SETR15SE 5EPIM      ,SEAT,TARRACO,1.5 TSI EVO SE 5dr,26041.67,0,55,220,19,0,0,0,25587.5,CAR,585,25952.5
SETR20XCE5EDTM      ,SEAT,TARRACO,2.0 TDI Xcellence 5dr,30379.17,0,55,180,19,0,0,0,29763.56,CAR,230,29813.56
SETR15XCE5EPIM      ,SEAT,TARRACO,1.5 TSI EVO Xcellence 5dr,28554.17,0,55,220,19,0,0,0,28029.66,CAR,585,28394.66
SETR20XCL5EDTM      ,SEAT,TARRACO,2.0 TDI Xcellence Lux 5dr,31958.33,0,55,180,19,0,0,0,31298.5,CAR,230,31348.5
SETR20SEY5EDTM      ,SEAT,TARRACO,2.0 TDI SE Technology 5dr,29095.83,0,55,180,19,0,0,0,28516.14,CAR,230,28566.14
TORA25EXL5EHIA  7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Excel 5dr CVT 2WD,31374.17,605,55,150,2,0,0,0,37827.03,CAR,180,37857.03
TORA25DES5EHIA4 7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Design 5dr CVT,30832.5,605,55,150,2,0,0,0,37190.02,CAR,220,37260.02
TORA25DJP5EHIA  7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Dynamic 5dr CVT [JBL + PVM] 2WD,32361.67,605,55,150,2,0,0,0,38988.33,CAR,180,39018.33
TORA25DYN5EHIA  7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Dynamic 5dr CVT 2WD,31707.5,605,55,150,2,0,0,0,38219.02,CAR,180,38249.02
TORA25EXR5EHIA4 7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Excel 5dr CVT [Pan Roof],34036.67,605,55,150,2,0,0,0,40958.13,CAR,220,41028.13
MEAC20PS45HPTA4 6   ,MERCEDES-BENZ,A CLASS,A45 S 4Matic+ Plus 5dr Auto,47037.5,670.83,55,1345,0,0,0,0,58650,CAR,1420,58725
TORA25EJP5EHIA  7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Excel 5dr CVT [JBL + PVM] 2WD,32028.33,605,55,150,2,0,0,0,38596.31,CAR,180,38626.31
TORA25DIP5EHIA  7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Dynamic 5dr CVT [Pan Roof] 2WD,32424.17,605,55,150,2,0,0,0,39061.83,CAR,180,39091.83
TORA25DYN5EHIA4 7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Dynamic 5dr CVT,33657.5,605,55,150,2,0,0,0,40512.22,CAR,220,40582.22
TORA25DIP5EHIA4 7   ,TOYOTA,RAV4,2.5 VVT-i Hybrid Dynamic 5dr CVT [Pan Roof],34374.17,605,55,150,2,0,0,0,41355.03,CAR,220,41425.03
TOCO18ICT5HHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Icon Tech 5dr CVT,21595,605,55,105,17,0,0,0,22394.62,CAR,160,22449.62
TOCO20EXR5HHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Excel 5dr CVT [Panoramic Roof],25990.83,605,55,105,17,0,0,0,26772.87,CAR,180,26847.87
TOCO20DES5HHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Design 5dr CVT,23949.17,605,55,105,17,0,0,0,24739.37,CAR,180,24814.37
TOCO18EXL5HHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Excel 5dr CVT,23753.33,605,55,105,17,0,0,0,24544.31,CAR,180,24619.31
MEGG203LP5EXTA4 1   ,MERCEDES-BENZ,GLC COUPE,GLC 300e 4Matic AMG Line Premium 5dr 9G-Tronic,46420.83,670.83,55,15,8,0,0,0,52123.59,CAR,15,52123.59
TOCO18DES5HHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Design 5dr CVT,22511.67,605,55,105,17,0,0,0,23307.63,CAR,160,23362.63
