Cap Code,Manufacturer,Model Name,Variant,Basic List,Ex Works,Registration Fee,RFL 1 Year,Discount,Dealer,Additional,Gov Grant,OTR,CapType,RFL,OTR
MEEQ00ET15EE A4     ,MERCEDES-BENZ,EQC,EQC 400 300kW Edition 1 80kWh 5dr Auto,61437.5,616.67,55,0,6,0,0,0,70096.5,CAR,0,70096.5
MEGB202OM5EDTA      ,MERCEDES-BENZ,GLB,GLB 200d AMG Line Premium 5dr 8G-Tronic,33516.67,670.83,55,180,8,0,0,0,38042.4,CAR,230,38092.4
TOCH20DES5HHIA  1   ,TOYOTA,C-HR,2.0 Hybrid Design 5dr CVT,26361.67,605,55,130,19,0,0,0,26534.54,CAR,180,26584.54
MEGB20MPL5EDTA4     ,MERCEDES-BENZ,GLB,GLB 220d 4Matic AMG Line Prem Plus 5dr 8G-Tronic,37391.67,670.83,55,220,8,0,0,0,42360.4,CAR,585,42725.4
MEGB20MLM5EDTA4     ,MERCEDES-BENZ,GLB,GLB 220d 4Matic AMG Line Premium 5dr 8G-Tronic,36141.67,670.83,55,220,8,0,0,0,40980.4,CAR,585,41345.4
TOCH18EXJ5HHIA  1   ,TOYOTA,C-HR,1.8 Hybrid Excel 5dr CVT [JBL],27261.67,605,55,105,19,0,0,0,27384.34,CAR,180,27459.34
TOCH20EXJ5HHIA  1   ,TOYOTA,C-HR,2.0 Hybrid Excel 5dr CVT [JBL],28611.67,605,55,130,19,0,0,0,28721.54,CAR,180,28771.54
TOCH20DSL5HHIA  1   ,TOYOTA,C-HR,2.0 Hybrid Design 5dr CVT [Leather],27357.5,605,55,130,19,0,0,0,27502.5,CAR,180,27552.5
TOCH18EXL5HHIA  1   ,TOYOTA,C-HR,1.8 Hybrid Excel 5dr CVT,26682.5,605,55,105,19,0,0,0,26821.4,CAR,180,26896.4
DSD716PRE5HXTA4     ,DS,DS 7,1.6 E-TENSE 4X4 Prestige 5dr EAT8,41537.5,583.33,55,0,0,0,0,0,50600,CAR,0,50600
DSD716PEL5HXTA4     ,DS,DS 7,1.6 E-TENSE 4X4 Performance Line 5dr EAT8,38162.5,583.33,55,0,12,3.5,0,0,39451.77,CAR,0,39451.77
MECA20PS44SPTA4 2   ,MERCEDES-BENZ,CLA,CLA 45 S 4Matic+ Plus 4dr Tip Auto,48904.17,670.83,55,895,0,0,0,0,60440,CAR,1420,60965
KINI164  5EHIA  1   ,KIA,NIRO,1.6 GDi Hybrid 4 5dr DCT,24612.5,537.5,55,130,0,0,0,0,30365,CAR,180,30415
MEGS2022L5EDTA4 1   ,MERCEDES-BENZ,GLC,GLC 220d 4Matic AMG Line 5dr 9G-Tronic,36495.83,670.83,55,220,8,0,0,0,41371.39,CAR,585,41736.39
POTY001  4SE A4     ,PORSCHE,TAYCAN,500kW Turbo 93kWh 4dr Auto,97391.67,0,55,0,0,0,0,0,116925,CAR,0,116925
BMX544   5EPTA4 5   ,BMW,X5,xDrive M50i 5dr Auto,64229.17,708.33,55,1910,8,0,0,0,73724,CAR,2365,74179
MEGS203PL5EPTA4 1   ,MERCEDES-BENZ,GLC,GLC 300 4Matic AMG Line Premium Plus 5dr 9G-Tronic,43029.17,670.83,55,895,8,0,0,0,49259.2,CAR,945,49309.2
MEGS304GS5EPTA4 1   ,MERCEDES-BENZ,GLC,GLC 43 4Matic Premium Plus 5dr TCT,48495.83,670.83,55,1910,0,0,0,0,60964.99,CAR,2015,61069.99
MEGS304GR5EPTA4 1   ,MERCEDES-BENZ,GLC,GLC 43 4Matic Premium 5dr TCT,44916.67,670.83,55,1910,0,0,0,0,56670,CAR,2015,56775
MEGG304GR5EPTA4 1   ,MERCEDES-BENZ,GLC COUPE,GLC 43 4Matic Premium 5dr TCT,47795.83,670.83,55,1910,0,0,0,0,60124.99,CAR,2015,60229.99
MEGG304GS5EPTA4 1   ,MERCEDES-BENZ,GLC COUPE,GLC 43 4Matic Premium plus 5dr TCT,51375,670.83,55,1910,0,0,0,0,64420,CAR,2015,64525
MECA132OA5EPTA  2   ,MERCEDES-BENZ,CLA,CLA 200 AMG Line 5dr Tip Auto,28233.33,670.83,55,180,0,0,0,0,34919.99,CAR,230,34969.99
PE2800ALL5HE A  2   ,PEUGEOT,208,100kW Allure 50kWh 5dr Auto,24670.83,625,55,0,0,2,0,1500,28317.89,CAR,0,28317.89
LERX35PRM5EHIA4 5   ,LEXUS,RX,450h 3.5 5dr CVT [Premium pack],46790.83,605,55,210,12,0,0,0,50402.12,CAR,935,51127.12
BM7E30MSU4SXTA  8   ,BMW,7 SERIES,745e M Sport 4dr Auto [Ultimate Pack],89537.5,708.33,55,15,12,0,0,0,95471.6,CAR,0,95456.6
BM7E30LMU4SXTA4 8   ,BMW,7 SERIES,745Le xDrive M Sport 4dr Auto [Ultimate Pack],96950,708.33,55,15,12,0,0,0,103299.2,CAR,15,103299.2
BM5M44MCO5EPTA4 2   ,BMW,X5 M,xDrive X5 M Competition 5dr Step Auto,93500,708.33,55,2245,10,0,0,0,104130,CAR,2365,104250
TOCO20GSP5EHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid GR Sport 5dr CVT,26453.33,605,55,105,17,0,0,0,27233.51,CAR,180,27308.51
PE5F16GT 5HXTA      ,PEUGEOT,508,1.6 Hybrid GT 5dr e-EAT8,31312.5,625,55,0,13.5,2,0,0,32555.87,CAR,0,32555.87
TOCO18GSP5EHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid GR Sport 5dr CVT,24832.5,605,55,105,17,0,0,0,25619.18,CAR,180,25694.18
TOCO18GSP5HHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid GR Sport 5dr CVT,23774.17,605,55,105,17,0,0,0,24565.07,CAR,180,24640.07
TOCO20GSB5HHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid GR Sport 5dr CVT [Bi-tone],25420,605,55,105,17,0,0,0,26204.32,CAR,180,26279.32
PE5016GT 5EXTA  2   ,PEUGEOT,508,1.6 Hybrid GT 5dr e-EAT8,32770.83,625,55,0,15.5,2,0,0,33248.12,CAR,0,33248.12
Cap Code,Manufacturer,Model Name,Variant,Basic List,Ex Works,Registration Fee,RFL 1 Year,Discount,Dealer,Additional,Gov Grant,OTR,CapType,RFL,OTR
